name,hands,VPIP,PFR,AF,VPIP_SB,VPIP_BB,PFR_SB,PFR_BB,bets,raises,calls,folds,checks
Claude Sonnet 4.5,280000,0.8209,0.5291,2.0788,0.897,0.7449,0.8944,0.1638,151814,179800,159523,99347,149467
GPT-5.2,280000,0.8893,0.6242,1.8438,0.9977,0.781,0.9234,0.325,146676,191640,183485,95674,161388
GPT-5 mini,280000,0.8384,0.5774,1.8628,0.988,0.6887,0.9832,0.1717,127290,171403,160344,128872,141009
Gemini 3 Flash Preview,280000,0.6609,0.4409,1.1862,0.7308,0.591,0.7308,0.1509,55825,129036,155838,154684,172181
Grok 4.1 Fast Reasoning,280000,0.7626,0.57,3.8606,0.8643,0.661,0.8517,0.2884,158130,194170,91255,107652,87475
Grok 4,280000,0.8354,0.7233,6.5857,0.9562,0.7145,0.9535,0.4931,189007,248945,66500,59663,68970
o3,280000,0.8192,0.5982,2.3811,0.9803,0.6581,0.8878,0.3087,141217,192182,140019,95597,126064
Claude Opus 4.5,279800,0.7864,0.5051,1.4692,0.8909,0.6819,0.8864,0.1237,123982,149873,186401,118744,167565
DeepSeek V3.2,279800,0.7384,0.5406,2.9067,0.8165,0.6602,0.8028,0.2783,148712,169895,109613,115448,85716
Gemini 3.1 Pro Preview,275800,0.4854,0.3487,1.9288,0.5288,0.442,0.5186,0.1788,40861,106559,76431,198167,98869
Claude Opus 4.6,274800,0.7983,0.5224,1.6112,0.898,0.6986,0.8958,0.1489,134474,154701,179474,112366,154524
Claude Sonnet 4.6,272700,0.8728,0.6239,2.2565,0.9793,0.7663,0.9738,0.274,134585,186129,142132,102456,127084
GPT-5.4 mini,269000,0.8788,0.5701,1.7921,0.9957,0.7618,0.8743,0.2659,153592,167634,179245,101444,134505
GPT-5.4,267300,0.8973,0.4997,1.0913,0.9923,0.8022,0.7703,0.2291,107738,144072,230752,117157,174835
Gemini 3 Pro Preview,239600,0.5431,0.2997,0.6845,0.5562,0.5301,0.5429,0.0566,22377,76070,143819,167212,156188
